#Table1
z,ra,dec
0.06103761,154.38835,-0.029231852
1.588259,154.04396,-1.1712473
1.828181,154.21557,-0.56305664
0.3372652,154.24438,-0.11900407
0.7389238,161.88911,-0.78344513
0.1515879,161.90609,-0.2348479
1.276381,161.82628,0.12180935
1.021421,161.18442,-1.1076207
2.093151,161.35852,-1.0200246
1.587297,161.35183,-0.95898137
1.2108,161.45715,-1.1169181
1.33744,168.96754,-0.75650276
1.510724,169.18773,-0.73601814
0.842083,175.096,-0.17877818
1.569166,174.55834,-0.9556293
0.1348588,174.79024,-0.26907207
1.79243,176.04222,0.30382301
1.458154,176.00201,0.15502258
1.044296,176.39108,-0.15918632
1.225584,176.55038,0.35143824
1.490313,176.6468,0.20928608
1.8469,179.34901,0.90545636
0.2605557,179.48113,0.28445193
0.5908111,179.6367,0.86087635
1.525822,179.55468,0.42456661
2.133276,186.85463,-1.1177508
1.954737,187.13195,-0.52474119
0.6304989,186.99301,-0.25551328
1.543896,186.86212,-0.16774167
1.173982,186.71672,-0.19985323
0.9198498,186.60034,-1.2096101
1.290582,186.80513,-1.2373847
1.122853,186.53343,-0.10062077
1.558381,186.47032,-0.55315625
0.3532658,186.6726,-0.33474192
0.9210073,186.39758,-0.34427379
1.584228,145.76225,-0.21964896
0.3395857,145.46519,-1.0644753
1.878727,145.19927,-1.2327324
1.163653,145.24564,-0.64077363
0.1631241,148.88333,0.68576117
2.017165,148.91747,0.811696
0.3097312,149.03443,0.47026995
0.1337005,150.29383,-0.68029948
1.306056,150.42554,-0.4193162
1.420516,149.75901,-1.1803174
1.878327,149.90953,-0.58358358
0.1227426,150.72962,-0.41385309
0.7945952,150.70803,-0.41486469
0.2256078,149.99127,-1.1790507
1.658752,150.09098,-1.0088649
0.7056323,149.87765,-1.2583306
1.470221,150.43031,-0.60292552
1.270856,152.86112,0.72199018
1.251437,153.84348,0.068632976
0.3754889,155.15029,-0.80764233
1.403561,155.68603,-0.12652436
0.9508851,155.11626,-0.60273547
2.088385,155.12528,-0.2835131
0.8089192,155.12197,-0.10080957
0.3628398,156.26145,0.52415147
1.893393,156.32326,0.57282473
0.9298036,156.48301,0.72974681
0.9884961,156.27623,0.59815382
0.9826955,156.68378,0.10816617
2.123968,156.92554,0.91780884
0.6235905,160.83991,0.72262799
1.401194,160.62776,1.0004577
1.256168,160.94676,0.8342322
2.006571,162.30564,-1.0037799
0.4304833,162.89797,0.086292518
1.537596,162.92542,-0.12838374
1.224883,162.1477,-0.66973679
1.741678,162.12005,-0.96306311
0.9806141,163.61299,0.40743487
1.5335,163.73763,0.5738993
0.3486201,163.57625,0.10429247
0.4764286,163.40815,0.99966166
1.478902,163.38318,0.78372019
1.764182,163.38183,0.76027237
1.289323,163.58846,0.88956032
1.251903,163.62869,1.2225442
1.035289,163.7349,0.90052451
1.705351,164.09022,0.21212171
1.109469,163.92925,0.16711876
1.144497,163.8653,0.33376681
1.604604,164.07748,1.1333607
1.817173,163.83333,0.96641076
1.06868,164.58444,0.54788745
0.1483137,164.54659,0.4216093
1.428272,167.82403,0.3091429
4.036767,168.10077,0.7750995
1.433218,168.23389,0.22872759
1.54434,167.90189,1.1037646
0.3463153,168.28221,0.53622105
0.5582503,168.41901,0.49251311
0.3253868,146.2918,-0.25947359
0.2884945,145.9253,0.04879248
1.36213,145.74093,-0.78478748
1.615831,145.74414,-0.04356676
0.06315506,145.62226,0.034593059
0.8632774,147.72016,0.95889121
0.5017995,147.81092,0.68123605
0.288476,151.02084,-0.54816942
3.204516,152.27576,0.29384773
0.1281628,152.27086,0.45127272
0.6050577,152.50022,0.30628625
1.399944,152.57582,0.064226707
1.744749,152.75386,0.34428675
0.3300815,153.48003,0.48065892
0.1774282,152.68546,0.72537002
0.1410715,153.52455,0.10564722
0.1477345,154.90114,0.34159576
1.41799,155.74132,0.81960187
1.55885,155.74914,1.0231981
1.689358,155.7013,0.88038881
1.091548,155.62198,0.95291713
0.6175881,155.60345,0.1118451
0.8353541,155.8192,0.16007739
0.09549566,156.20239,0.59390075
1.248098,159.92676,0.99833971
0.6767216,160.11915,0.085414052
0.7484392,160.41088,0.83366496
0.6605935,160.61301,0.7810109
0.3256396,160.18247,1.094884
1.165141,162.25716,0.9261072
1.58302,162.11941,0.23969476
1.646312,162.21891,0.54165019
1.652211,162.36229,0.40189895
1.001103,163.13356,1.1613634
0.9956088,163.14702,0.088159757
0.9130076,162.86584,0.64668407
0.4966688,167.12646,0.57642248
1.492898,167.49626,1.0321334
0.9554778,167.40148,0.8531511
0.2179237,167.54954,0.064590794
1.428346,167.4796,0.47234781
0.877317,167.54035,0.65890364
0.5447735,167.80202,0.29655692
0.09478367,167.55029,1.2243894
0.7595012,167.72886,0.81506941
1.891315,147.55427,-0.47753803
3.211459,147.53003,-0.22111661
1.775525,147.52062,-0.33674168
0.2415861,147.03099,-1.1456056
1.369275,146.93358,-1.2453737
1.609856,147.13939,-0.85096747
0.06720914,147.22198,-0.86545331
0.4218703,147.43057,0.093389564
1.813826,147.16954,1.0962524
2.243463,147.1701,0.53908692
1.487651,147.14063,0.41625138
1.592156,147.23177,0.37757814
0.6920985,147.53349,1.2363404
0.6402417,147.57777,0.84719788
0.1105128,152.20893,-0.20239725
1.948004,151.98393,-1.2205778
1.353014,152.15567,-0.30977704
1.499948,159.44756,-0.27886953
2.341786,158.72374,-1.0330022
0.2569925,159.21849,-0.8246021
1.549518,159.23178,-1.0829613
1.720357,158.5884,-0.62563715
0.5945849,159.36438,0.60989185
0.1119271,159.27608,1.1231483
0.2563788,159.57424,0.31228015
3.749686,159.70051,0.79819114
0.901266,166.9477,-0.512278
1.729863,166.90283,0.058222517
0.1118383,166.97152,-0.12156497
1.739622,166.38824,-0.98002567
0.4347217,165.91386,-0.52034658
1.916705,166.74259,-0.4120884
1.448465,166.30949,1.1522764
0.5802391,166.76565,0.70065485
0.9892523,166.68467,0.52643877
1.392492,166.87099,0.80311576
1.878803,166.85708,0.56499187
1.978816,171.07017,-0.34747548
